month,field,num_publications,unique_authors,avg_diversity_factor,num_publications_pct_change,unique_authors_pct_change,avg_diversity_factor_pct_change,num_publications_rolling_avg,num_publications_growth_rate,unique_authors_rolling_avg,unique_authors_growth_rate,avg_diversity_factor_rolling_avg,avg_diversity_factor_growth_rate
2021-05,astro-ph,1115,10378,0.24753363228699551,0.0229,0.0004,0.1058,1249.0833,2.5968,10653.0833,2.8084,0.2349,0.0097
2021-05,cond-mat,1353,6254,0.36807095343680707,0.0173,0.0399,-0.055,1386.5,2.8768,6290.9167,2.87,0.3681,0.0979
2021-05,cs,5148,17342,0.36713286713286714,-0.0374,-0.0503,0.2419,4901.5833,3.7403,16409.75,3.315,0.4146,-0.2273
2021-05,econ,129,314,1.0310077519379846,0.1518,0.2362,-0.0457,113.9167,5.7895,254.9167,4.322,1.063,-0.2466
2021-05,eess,615,2556,1.191869918699187,-0.0982,-0.0802,-0.0635,732.75,1.584,2835.75,1.7692,1.2562,-0.1456
2021-05,gr-qc,346,2489,0.9248554913294798,0.1972,2.2451,0.0865,289.3333,3.0233,1522.8333,10.9091,0.9637,-0.0751
2021-05,hep-ex,77,2859,0.4025974025974026,0.5098,-0.2416,-0.1445,57.5,2.6667,3311.0,-0.058,0.5204,-0.5303
2021-05,hep-lat,32,113,1.40625,0.3913,0.1078,-0.1258,32.0,2.2,120.25,1.3542,1.4089,0.2784
2021-05,hep-ph,432,1351,0.8773148148148148,0.0213,0.093,-0.0208,396.0,3.7473,1224.9167,4.2364,0.9189,-0.0717
2021-05,hep-th,329,767,1.1337386018237081,0.1835,0.1551,0.0471,318.5,2.3232,749.6667,1.9614,1.0789,-0.1231
2021-05,math,2953,5902,0.8408398239078902,0.0661,0.075,0.0074,2924.5,2.406,5792.1667,2.3046,0.8189,0.0996
2021-05,math-ph,86,200,2.5697674418604652,-0.0549,0.0989,0.0302,104.0,2.44,211.25,2.7736,2.5777,0.2355
2021-05,nlin,72,199,1.0694444444444444,-0.0649,0.157,0.128,75.5,3.0,204.3333,3.0612,1.1144,0.1324
2021-05,nucl-ex,34,860,0.8235294117647058,0.3077,0.9907,0.1895,36.8333,0.7895,1018.25,0.5468,0.6834,-0.1765
2021-05,nucl-th,93,292,0.8387096774193549,0.0568,-0.0395,-0.1707,100.0,2.875,329.75,2.3563,0.8608,0.2581
2021-05,physics,1146,6402,0.5532286212914486,-0.0434,-0.0167,0.0119,1234.9167,2.0889,6871.5,1.9354,0.5478,-0.0998
2021-05,q-bio,159,693,0.9119496855345912,-0.0364,-0.0772,0.1064,197.9167,0.963,836.1667,0.9632,0.9232,-0.0407
2021-05,q-fin,67,155,0.9104477611940298,0.0152,-0.1193,-0.0308,76.25,1.1613,189.6667,1.013,0.8375,0.0855
2021-05,quant-ph,614,2177,0.8175895765472313,0.0319,-0.0559,0.0156,566.1667,3.1486,2058.3333,3.1705,0.7689,0.0255
2021-05,stat,410,1222,0.7682926829268293,0.0875,0.0091,-0.1223,437.4167,2.1538,1336.5,2.0248,0.8844,-0.1813
2021-06,astro-ph,1171,10688,0.2502134927412468,0.0502,0.0299,0.0108,1231.25,-0.1545,10651.0,-0.0023,0.2398,0.3077
2021-06,cond-mat,1335,6083,0.41947565543071164,-0.0133,-0.0273,0.1397,1386.3333,-0.0015,6274.25,-0.0318,0.3702,0.0642
2021-06,cs,5980,20158,0.3560200668896321,0.1616,0.1624,-0.0303,4978.6667,0.183,16727.3333,0.2331,0.3902,-0.451
2021-06,econ,102,254,1.0784313725490196,-0.2093,-0.1911,0.046,113.3333,-0.0642,257.0,0.1092,1.0619,-0.0122
2021-06,eess,729,2896,1.2277091906721536,0.1854,0.133,0.0301,726.25,-0.0967,2819.6667,-0.0625,1.243,-0.1138
2021-06,gr-qc,273,702,1.0805860805860805,-0.211,-0.718,0.1684,287.0833,-0.09,1514.3333,-0.1269,0.9749,0.1415
2021-06,hep-ex,57,3334,0.5263157894736842,-0.2597,0.1661,0.3073,58.5833,0.2955,3269.75,-0.1293,0.5018,-0.2982
2021-06,hep-lat,29,104,1.2413793103448276,-0.0938,-0.0796,-0.1172,32.6667,0.381,120.25,0.0,1.4211,0.1334
2021-06,hep-ph,380,1179,0.881578947368421,-0.1204,-0.1273,0.0049,391.9167,-0.1142,1190.75,-0.258,0.9108,-0.0995
2021-06,hep-th,324,788,1.037037037037037,-0.0152,0.0274,-0.0853,315.5,-0.1,746.4167,-0.0472,1.0783,-0.0071
2021-06,math,2940,6022,0.8346938775510204,-0.0044,0.0203,-0.0073,2900.8333,-0.0881,5769.8333,-0.0426,0.8216,0.0398
2021-06,math-ph,104,222,2.5576923076923075,0.2093,0.11,-0.0047,101.1667,-0.2464,208.25,-0.1395,2.5837,0.029
2021-06,nlin,68,184,0.7941176470588235,-0.0556,-0.0754,-0.2574,74.1667,-0.1905,199.9167,-0.2236,1.0793,-0.346
2021-06,nucl-ex,31,1176,0.9032258064516129,-0.0882,0.3674,0.0968,36.8333,0.0,1014.5833,-0.0361,0.6914,0.12
2021-06,nucl-th,91,333,0.9340659340659341,-0.0215,0.1404,0.1137,98.5,-0.1651,329.4167,-0.0119,0.8614,0.0081
2021-06,physics,1204,6289,0.532392026578073,0.0506,-0.0177,-0.0377,1215.9167,-0.1592,6684.1667,-0.2633,0.5396,-0.1567
2021-06,q-bio,165,635,0.8363636363636363,0.0377,-0.0837,-0.0829,190.0,-0.3654,794.5,-0.4405,0.9077,-0.1825
2021-06,q-fin,83,228,0.8795180722891566,0.2388,0.471,-0.034,74.9167,-0.1616,188.4167,-0.0617,0.8351,-0.0325
2021-06,quant-ph,629,2358,0.8410174880763116,0.0244,0.0831,0.0287,571.8333,0.1212,2094.3333,0.2243,0.7814,0.216
